,Tenant,VRF,BD_Name,BD_IP,AP,EPG_Name,VLAN_ID,VLAN_Pool,Domain,NODEID_FROM,NODEID_TO,Port,Mode,PGType,PolicyGroup
68,D_DC,L_SRV2_PUB_002,VL3224_L_SRV2_PUB_002_BD,,L_SRV2_PUB_002_AP,VL3224_L_SRV2_PUB_002_EPG,3224,D_DC_SVPL,D_DC_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
69,D_DC,L_SRV2_PUB_002,VL3224_L_SRV2_PUB_002_BD,,L_SRV2_PUB_002_AP,VL3224_L_SRV2_PUB_002_EPG,3224,D_DC_SVPL,D_DC_PDOM,207,208,22,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
70,D_DC,L_SRV2_PUB_002,VL3224_L_SRV2_PUB_002_BD,,L_SRV2_PUB_002_AP,VL3224_L_SRV2_PUB_002_EPG,3224,D_DC_SVPL,D_DC_PDOM,207,208,23,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
71,D_DC,L_SRV2_PUB_002,VL3224_L_SRV2_PUB_002_BD,,L_SRV2_PUB_002_AP,VL3224_L_SRV2_PUB_002_EPG,3224,D_DC_SVPL,D_DC_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
72,D_MGMT,L_SRV2_MGT_002,VL3225_L_SRV2_MGT_002_BD,,L_SRV2_MGT_002_AP,VL3225_L_SRV2_MGT_002_EPG,3225,D_MGMT_SVPL,D_MGMT_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
73,D_MGMT,L_SRV2_MGT_002,VL3225_L_SRV2_MGT_002_BD,,L_SRV2_MGT_002_AP,VL3225_L_SRV2_MGT_002_EPG,3225,D_MGMT_SVPL,D_MGMT_PDOM,207,208,22,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
74,D_MGMT,L_SRV2_MGT_002,VL3225_L_SRV2_MGT_002_BD,,L_SRV2_MGT_002_AP,VL3225_L_SRV2_MGT_002_EPG,3225,D_MGMT_SVPL,D_MGMT_PDOM,207,208,23,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
75,D_MGMT,L_SRV2_MGT_002,VL3225_L_SRV2_MGT_002_BD,,L_SRV2_MGT_002_AP,VL3225_L_SRV2_MGT_002_EPG,3225,D_MGMT_SVPL,D_MGMT_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
76,D_DC,L_INF_PUB_003,VL3226_L_INF_PUB_003_BD,,L_INF_PUB_003_AP,VL3226_L_INF_PUB_003_EPG,3226,D_DC_SVPL,D_DC_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
77,D_DC,L_INF_PUB_003,VL3226_L_INF_PUB_003_BD,,L_INF_PUB_003_AP,VL3226_L_INF_PUB_003_EPG,3226,D_DC_SVPL,D_DC_PDOM,207,208,22,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
78,D_DC,L_INF_PUB_003,VL3226_L_INF_PUB_003_BD,,L_INF_PUB_003_AP,VL3226_L_INF_PUB_003_EPG,3226,D_DC_SVPL,D_DC_PDOM,207,208,23,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
79,D_DC,L_INF_PUB_003,VL3226_L_INF_PUB_003_BD,,L_INF_PUB_003_AP,VL3226_L_INF_PUB_003_EPG,3226,D_DC_SVPL,D_DC_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
80,D_MGMT,L_INF_MGT_003,VL3227_L_INF_MGT_003_BD,,L_INF_MGT_003_AP,VL3227_L_INF_MGT_003_EPG,3227,D_MGMT_SVPL,D_MGMT_PDOM,207,208,21,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
81,D_MGMT,L_INF_MGT_003,VL3227_L_INF_MGT_003_BD,,L_INF_MGT_003_AP,VL3227_L_INF_MGT_003_EPG,3227,D_MGMT_SVPL,D_MGMT_PDOM,207,208,22,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_21_22_VPC
82,D_MGMT,L_INF_MGT_003,VL3227_L_INF_MGT_003_BD,,L_INF_MGT_003_AP,VL3227_L_INF_MGT_003_EPG,3227,D_MGMT_SVPL,D_MGMT_PDOM,207,208,23,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
83,D_MGMT,L_INF_MGT_003,VL3227_L_INF_MGT_003_BD,,L_INF_MGT_003_AP,VL3227_L_INF_MGT_003_EPG,3227,D_MGMT_SVPL,D_MGMT_PDOM,207,208,24,regular,VPC,TLALFHC3207_TLALFHC3208_ETH1_23_24_VPC
